transaction_id,user_id,amount,currency,country,merchant_type,device_risk_score,timestamp,transaction_type,description,recipient_account,sender_account
TXN-1001,user_004,2423.87,GBP,India,online,0.12,2024-01-01 10:40:04,transfer,Transaction 1,ACC8272167299,ACC9159906501
TXN-1002,user_115,4291.07,INR,UAE,crypto_exchange,0.29,2024-01-01 11:07:17,deposit,Transaction 2,ACC3040072330,ACC4862902270
TXN-1003,user_029,68156.6,INR,India,education,0.18,2024-01-01 12:44:22,payment,Transaction 3,ACC6302346127,ACC6863684817
TXN-1004,user_097,9914.98,USD,India,automobile,0.35,2024-01-01 17:39:43,withdrawal,Transaction 4,ACC4045098598,ACC4472715958
TXN-1005,user_047,15631.39,INR,India,retail,0.11,2024-01-01 10:27:19,payment,Transaction 5,ACC3963872169,ACC5882456122
TXN-1006,user_152,4240.25,USD,India,online,0.23,2024-01-01 13:31:25,transfer,Transaction 6,ACC2086159843,ACC3870473091
TXN-1007,user_149,90965.52,EUR,India,grocery,0.29,2024-01-01 12:05:22,transfer,Transaction 7,ACC5994676970,ACC3932466669
TXN-1008,user_050,4273.66,EUR,UAE,business,0.35,2024-01-01 18:19:56,deposit,Transaction 8,ACC8114446093,ACC5360506584
TXN-1009,user_160,171.59,INR,India,investment,0.58,2024-01-01 09:32:27,transfer,Transaction 9,ACC5922518661,ACC7644069977
TXN-1010,user_009,49437.8,USD,India,jewelry,0.21,2024-01-01 15:51:48,payment,Transaction 10,ACC1552767856,ACC3884799110
TXN-1011,user_019,3696.92,SGD,India,education,0.44,2024-01-01 15:52:39,deposit,Transaction 11,ACC2157726054,ACC9713460782
TXN-1012,user_193,41539.76,SGD,UK,crypto_exchange,0.38,2024-01-01 10:17:53,payment,Transaction 12,ACC7947857787,ACC5059399561
TXN-1013,user_009,66366.81,AED,UK,entertainment,0.19,2024-01-01 13:10:44,withdrawal,Transaction 13,ACC9308478682,ACC4370458303
TXN-1014,user_066,2436.78,USD,India,online,0.19,2024-01-01 10:34:18,payment,Transaction 14,ACC9600414305,ACC2014119726
TXN-1015,user_120,566.0,GBP,India,restaurant,0.27,2024-01-01 10:22:50,payment,Transaction 15,ACC2044308121,ACC4998255395
TXN-1016,user_187,3969.54,GBP,UK,grocery,0.59,2024-01-01 12:22:26,transfer,Transaction 16,ACC6992750845,ACC5291620818
TXN-1017,user_028,8088.53,EUR,India,travel,0.38,2024-01-01 09:18:34,transfer,Transaction 17,ACC1755380454,ACC8548839753
TXN-1018,user_126,96957.29,USD,India,restaurant,0.19,2024-01-01 12:01:46,transfer,Transaction 18,ACC8613911471,ACC5251087723
TXN-1019,user_014,6236.24,GBP,UK,grocery,0.25,2024-01-01 14:51:36,payment,Transaction 19,ACC4711059688,ACC3383172660
TXN-1020,user_021,939.2,GBP,India,investment,0.53,2024-01-01 16:23:01,deposit,Transaction 20,ACC9373005780,ACC9842168695
TXN-1021,user_100,844.05,GBP,India,jewelry,0.16,2024-01-01 10:06:50,withdrawal,Transaction 21,ACC7978117092,ACC7548932891
TXN-1022,user_112,60009.95,EUR,USA,real_estate,0.31,2024-01-01 15:24:41,withdrawal,Transaction 22,ACC6914451892,ACC4996671168
TXN-1023,user_007,235.59,AED,India,utilities,0.19,2024-01-01 14:36:54,deposit,Transaction 23,ACC5669039789,ACC7311358507
TXN-1024,user_026,72541.33,GBP,India,travel,0.25,2024-01-01 14:09:24,transfer,Transaction 24,ACC9703993426,ACC3183655795
TXN-1025,user_048,7165.09,GBP,India,automobile,0.58,2024-01-01 09:58:25,deposit,Transaction 25,ACC9770439165,ACC6504448479
TXN-1026,user_007,9484.7,USD,USA,healthcare,0.35,2024-01-01 17:43:36,withdrawal,Transaction 26,ACC1167784715,ACC2969154231
TXN-1027,user_163,85386.15,USD,India,online,0.95,2024-01-01 17:05:44,transfer,Transaction 27,ACC9544935478,ACC1634202440
TXN-1028,user_128,4111.83,SGD,India,business,0.41,2024-01-01 13:39:10,deposit,Transaction 28,ACC6027467919,ACC4002880115
TXN-1029,user_013,4268.11,AED,India,education,0.4,2024-01-01 14:37:13,deposit,Transaction 29,ACC8596063873,ACC8078769613
TXN-1030,user_096,77218.89,SGD,India,retail,0.27,2024-01-01 17:01:49,transfer,Transaction 30,ACC9509100279,ACC6747815087
TXN-1031,user_182,94126.64,GBP,India,grocery,0.4,2024-01-01 09:46:45,payment,Transaction 31,ACC5204580008,ACC2612444953
TXN-1032,user_048,65014.96,INR,India,healthcare,0.19,2024-01-01 12:17:27,payment,Transaction 32,ACC7975426871,ACC7910635596
TXN-1033,user_109,230.7,AED,India,investment,0.19,2024-01-01 18:38:11,withdrawal,Transaction 33,ACC3186073188,ACC8271197591
TXN-1034,user_175,997.56,GBP,India,automobile,0.57,2024-01-01 12:32:55,deposit,Transaction 34,ACC9125390482,ACC1408155124
TXN-1035,user_081,133004.47,SGD,India,jewelry,0.72,2024-01-01 11:40:20,deposit,Transaction 35,ACC3385092584,ACC3425574557
TXN-1036,user_171,165853.29,INR,UAE,travel,0.78,2024-01-01 10:47:15,payment,Transaction 36,ACC8070486502,ACC5964438050
TXN-1037,user_168,62345.69,GBP,UAE,entertainment,0.24,2024-01-01 15:24:37,deposit,Transaction 37,ACC9312185652,ACC7394266010
TXN-1038,user_056,4925.35,GBP,India,healthcare,0.17,2024-01-01 12:30:19,withdrawal,Transaction 38,ACC4482643342,ACC8369023528
TXN-1039,user_145,435790.55,AED,UAE,crypto_exchange,0.27,2024-01-01 16:21:43,transfer,Transaction 39,ACC2323027545,ACC4974295735
TXN-1040,user_126,67484.75,GBP,India,restaurant,0.19,2024-01-02 17:28:01,payment,Transaction 40,ACC9016300337,ACC3095992525
TXN-1041,user_146,704.78,EUR,India,grocery,0.24,2024-01-02 15:26:23,deposit,Transaction 41,ACC4113230353,ACC3045631164
TXN-1042,user_025,22296.01,INR,USA,travel,0.29,2024-01-02 15:38:19,withdrawal,Transaction 42,ACC7913434479,ACC9488496973
TXN-1043,user_052,465.62,USD,India,utilities,0.17,2024-01-02 14:31:06,deposit,Transaction 43,ACC5687090553,ACC9598669469
TXN-1044,user_050,65605.25,GBP,India,education,0.31,2024-01-02 11:05:31,transfer,Transaction 44,ACC4438752452,ACC1985030857
TXN-1045,user_065,9697.12,AED,USA,real_estate,0.31,2024-01-02 13:10:40,payment,Transaction 45,ACC8433926351,ACC8373000573
TXN-1046,user_166,45733.53,EUR,India,healthcare,0.36,2024-01-02 11:42:54,withdrawal,Transaction 46,ACC8544547810,ACC7531739467
TXN-1047,user_009,411238.9,GBP,India,grocery,0.54,2024-01-02 10:04:48,withdrawal,Transaction 47,ACC2601385517,ACC3102657233
TXN-1048,user_146,12228.87,GBP,India,education,0.33,2024-01-02 10:15:14,payment,Transaction 48,ACC8560019910,ACC9657473202
TXN-1049,user_170,202660.27,AED,USA,utilities,0.29,2024-01-02 10:35:33,withdrawal,Transaction 49,ACC9279020420,ACC2979029204
TXN-1050,user_050,25474.33,GBP,USA,healthcare,0.36,2024-01-02 17:40:27,transfer,Transaction 50,ACC1145508905,ACC2146118395
TXN-1051,user_081,8616.5,INR,USA,crypto_exchange,0.25,2024-01-02 14:25:21,payment,Transaction 51,ACC9345365451,ACC3983296601
TXN-1052,user_123,6343.89,GBP,India,online,0.72,2024-01-02 09:54:14,transfer,Transaction 52,ACC6309305835,ACC7235096084
TXN-1053,user_200,755.87,SGD,India,education,0.32,2024-01-02 14:51:12,transfer,Transaction 53,ACC2721938613,ACC1030251638
TXN-1054,user_153,2533.81,AED,Singapore,crypto_exchange,0.38,2024-01-02 13:13:27,payment,Transaction 54,ACC1070465688,ACC7334982600
TXN-1055,user_195,1682.34,INR,India,utilities,0.25,2024-01-02 09:26:49,withdrawal,Transaction 55,ACC8133703331,ACC9767009484
TXN-1056,user_004,1743.83,AED,India,real_estate,0.29,2024-01-02 10:05:32,transfer,Transaction 56,ACC1689256520,ACC2091170458
TXN-1057,user_047,6260.02,EUR,India,utilities,0.33,2024-01-02 09:42:42,payment,Transaction 57,ACC6674187198,ACC9503652006
TXN-1058,user_199,1822.65,EUR,Australia,education,0.57,2024-01-02 11:35:49,withdrawal,Transaction 58,ACC8975811547,ACC1288569054
TXN-1059,user_055,460395.91,GBP,Australia,real_estate,0.16,2024-01-02 14:44:38,payment,Transaction 59,ACC9157152851,ACC9188769843
TXN-1060,user_063,24980.04,AED,UAE,automobile,0.3,2024-01-02 09:46:29,deposit,Transaction 60,ACC2720724331,ACC7717028534
TXN-1061,user_042,282.23,EUR,India,jewelry,0.23,2024-01-02 14:16:50,deposit,Transaction 61,ACC1134293837,ACC5020452084
TXN-1062,user_159,402.08,USD,India,online,0.22,2024-01-02 17:22:23,deposit,Transaction 62,ACC7371341570,ACC7498510824
TXN-1063,user_173,686.25,SGD,India,jewelry,0.18,2024-01-02 11:31:51,transfer,Transaction 63,ACC1671558775,ACC2588550451
